class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"11","2021-10-16","EM03","TCAMZ_C11_D20211016_PPI_EM03","2026-08-15T21:29:20.644Z"
"11","2021-11-01","EM03","TCAMZ_C11_D20211101_PPI_EM03","2026-08-15T21:29:21.412Z"
"11","2021-11-17","EM03","TCAMZ_C11_D20211117_PPI_EM03","2026-08-15T21:29:22.204Z"
"11","2021-12-03","EM04","TCAMZ_C11_D20211203_PPI_EM04","2026-08-15T21:29:23.932Z"
"11","2021-12-19","EM03|EM04","TCAMZ_C11_D20211219_PPI_EM03|TCAMZ_C11_D20211219_PPI_EM04","2026-08-15T21:29:26.596Z"
"11","2022-01-01","EM04","TCAMZ_C11_D20220101_PPI_EM04","2026-08-15T21:29:31.932Z"
"11","2022-01-17","EM04","TCAMZ_C11_D20220117_PPI_EM04","2026-08-15T21:29:32.876Z"
"11","2022-02-02","EM02","TCAMZ_C11_D20220202_PPI_EM02","2026-08-15T21:29:33.828Z"
"11","2022-02-18","EM02","TCAMZ_C11_D20220218_PPI_EM02","2026-08-15T21:29:35.476Z"
"11","2022-03-06","EM03","TCAMZ_C11_D20220306_PPI_EM03","2026-08-15T21:29:37.188Z"
"11","2022-03-22","EM04","TCAMZ_C11_D20220322_PPI_EM04","2026-08-15T21:29:41.252Z"
"11","2022-04-07","EM03","TCAMZ_C11_D20220407_PPI_EM03","2026-08-15T21:29:42.244Z"
"11","2022-04-23","NENHUM","","2026-08-15T21:29:45.268Z"
"11","2022-05-09","EM03|EM04","TCAMZ_C11_D20220509_PPI_EM03|TCAMZ_C11_D20220509_PPI_EM04","2026-08-15T21:29:47.436Z"
"11","2022-05-25","EM01","TCAMZ_C11_D20220525_PPI_EM01","2026-08-15T21:29:54.172Z"
"11","2022-06-10","EM01","TCAMZ_C11_D20220610_PPI_EM01","2026-08-15T21:29:58.900Z"
"11","2022-06-26","EM04","TCAMZ_C11_D20220626_PPI_EM04","2026-08-15T21:30:00.876Z"
"11","2022-07-12","EM01","TCAMZ_C11_D20220712_PPI_EM01","2026-08-15T21:30:02.492Z"
"11","2022-07-28","EM04","TCAMZ_C11_D20220728_PPI_EM04","2026-08-15T21:30:05.732Z"
"11","2022-08-13","EM01","TCAMZ_C11_D20220813_PPI_EM01","2026-08-15T21:30:06.852Z"
"11","2022-08-29","EM03","TCAMZ_C11_D20220829_PPI_EM03","2026-08-15T21:30:08.508Z"
"11","2022-09-14","NENHUM","","2026-08-15T21:30:09.500Z"
"11","2022-09-30","NENHUM","","2026-08-15T21:30:10.644Z"
"11","2022-10-16","EM03","TCAMZ_C11_D20221016_PPI_EM03","2026-08-15T21:30:14.612Z"
"11","2022-11-01","EM01","TCAMZ_C11_D20221101_PPI_EM01","2026-08-15T21:30:16.988Z"
"11","2022-11-17","EM01","TCAMZ_C11_D20221117_PPI_EM01","2026-08-15T21:30:18.156Z"
"11","2022-12-03","NENHUM","","2026-08-15T21:30:19.948Z"
"11","2022-12-19","EM02","TCAMZ_C11_D20221219_PPI_EM02","2026-08-15T21:30:22.276Z"
"11","2023-01-01","EM02","TCAMZ_C11_D20230101_PPI_EM02","2026-08-15T21:30:23.245Z"
"11","2023-01-17","EM01","TCAMZ_C11_D20230117_PPI_EM01","2026-08-15T21:30:24.204Z"
"11","2023-02-02","EM03","TCAMZ_C11_D20230202_PPI_EM03","2026-08-15T21:30:25.780Z"
"11","2023-02-18","EM02","TCAMZ_C11_D20230218_PPI_EM02","2026-08-15T21:30:27.260Z"
"11","2023-03-06","EM02","TCAMZ_C11_D20230306_PPI_EM02","2026-08-15T21:30:29.307Z"
"11","2023-03-22","EM03","TCAMZ_C11_D20230322_PPI_EM03","2026-08-15T21:30:31.492Z"
"11","2023-04-07","NENHUM","","2026-08-15T21:30:33.292Z"
"11","2023-04-23","EM03","TCAMZ_C11_D20230423_PPI_EM03","2026-08-15T21:30:34.484Z"
"11","2023-05-09","EM01","TCAMZ_C11_D20230509_PPI_EM01","2026-08-15T21:30:35.508Z"
"11","2023-05-25","EM04","TCAMZ_C11_D20230525_PPI_EM04","2026-08-15T21:30:36.524Z"
"11","2023-06-10","EM01","TCAMZ_C11_D20230610_PPI_EM01","2026-08-15T21:30:37.804Z"
"11","2023-06-26","EM01","TCAMZ_C11_D20230626_PPI_EM01","2026-08-15T21:30:39.260Z"
"11","2023-07-12","EM01","TCAMZ_C11_D20230712_PPI_EM01","2026-08-15T21:30:40.580Z"
"11","2023-07-28","EM02","TCAMZ_C11_D20230728_PPI_EM02","2026-08-15T21:30:41.780Z"
"11","2023-08-13","EM02|EM04","TCAMZ_C11_D20230813_PPI_EM02|TCAMZ_C11_D20230813_PPI_EM04","2026-08-15T21:30:44.572Z"
"11","2023-08-29","EM03","TCAMZ_C11_D20230829_PPI_EM03","2026-08-15T21:30:45.956Z"
"11","2023-09-14","NENHUM","","2026-08-15T21:30:48.332Z"
"11","2023-09-30","EM03","TCAMZ_C11_D20230930_PPI_EM03","2026-08-15T21:30:50.964Z"
"11","2023-10-16","EM04","TCAMZ_C11_D20231016_PPI_EM04","2026-08-15T21:30:53.980Z"
"11","2023-11-01","NENHUM","","2026-08-15T21:30:55.700Z"
"11","2023-11-17","EM03","TCAMZ_C11_D20231117_PPI_EM03","2026-08-15T21:30:56.916Z"
"11","2023-12-03","EM02","TCAMZ_C11_D20231203_PPI_EM02","2026-08-15T21:30:57.988Z"
"11","2023-12-19","EM03","TCAMZ_C11_D20231219_PPI_EM03","2026-08-15T21:31:08.876Z"
"11","2024-01-01","EM01","TCAMZ_C11_D20240101_PPI_EM01","2026-08-15T21:31:10.812Z"
"11","2024-01-17","EM02","TCAMZ_C11_D20240117_PPI_EM02","2026-08-15T21:31:12.916Z"
"11","2024-02-02","EM02","TCAMZ_C11_D20240202_PPI_EM02","2026-08-15T21:31:13.844Z"
"11","2024-02-18","EM03","TCAMZ_C11_D20240218_PPI_EM03","2026-08-15T21:31:17.308Z"
"11","2024-03-05","EM02","TCAMZ_C11_D20240305_PPI_EM02","2026-08-15T21:31:18.196Z"
"11","2024-03-21","EM04","TCAMZ_C11_D20240321_PPI_EM04","2026-08-15T21:31:19.180Z"
"11","2024-04-06","EM04","TCAMZ_C11_D20240406_PPI_EM04","2026-08-15T21:31:20.052Z"
"11","2024-04-22","EM03|EM04","TCAMZ_C11_D20240422_PPI_EM03|TCAMZ_C11_D20240422_PPI_EM04","2026-08-15T21:31:22.020Z"
